power_category,numeric_level,character_name,url
intelligence,1,Aged Genghis (Earth-616),https://marvel.fandom.com/wiki/Aged_Genghis_(Earth-616)
intelligence,1,Algrim (Earth-616),https://marvel.fandom.com/wiki/Algrim_(Earth-616)
intelligence,1,Alonzo Lincoln (Earth-616),https://marvel.fandom.com/wiki/Alonzo_Lincoln_(Earth-616)
intelligence,1,Andre Mornet (Earth-616),https://marvel.fandom.com/wiki/Andre_Mornet_(Earth-616)
intelligence,1,Anton Miguel Rodriquez (Earth-616),https://marvel.fandom.com/wiki/Anton_Miguel_Rodriquez_(Earth-616)
intelligence,1,Ape (Morlock) (Earth-616),https://marvel.fandom.com/wiki/Ape_(Morlock)_(Earth-616)
intelligence,1,Apocalypse Beast (Earth-616),https://marvel.fandom.com/wiki/Apocalypse_Beast_(Earth-616)
intelligence,1,Aragorn (Earth-616),https://marvel.fandom.com/wiki/Aragorn_(Earth-616)
intelligence,1,Arsenal Alpha (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Alpha_(Earth-616)
intelligence,1,Arsenal Beta (Earth-616),https://marvel.fandom.com/wiki/Arsenal_Beta_(Earth-616)
intelligence,1,B'nee and C'cil (Earth-616),https://marvel.fandom.com/wiki/B%27nee_and_C%27cil_(Earth-616)
intelligence,1,Baby Karen (Earth-616),https://marvel.fandom.com/wiki/Baby_Karen_(Earth-616)
intelligence,1,Bernard Hoyster (Earth-616),https://marvel.fandom.com/wiki/Bernard_Hoyster_(Earth-616)
intelligence,1,Bernie Lachenay (Earth-616),https://marvel.fandom.com/wiki/Bernie_Lachenay_(Earth-616)
intelligence,1,Biri (Earth-616),https://marvel.fandom.com/wiki/Biri_(Earth-616)
intelligence,1,Brad Wolfe (Earth-616),https://marvel.fandom.com/wiki/Brad_Wolfe_(Earth-616)
intelligence,1,Braggadoom (Earth-616),https://marvel.fandom.com/wiki/Braggadoom_(Earth-616)
intelligence,1,Brainstorm (Jimmy) (Earth-616),https://marvel.fandom.com/wiki/Brainstorm_(Jimmy)_(Earth-616)
intelligence,1,Brian Hibbs (Earth-616),https://marvel.fandom.com/wiki/Brian_Hibbs_(Earth-616)
intelligence,1,Bruce Banner (Earth-1610),https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-1610)
intelligence,1,Caliban (Earth-616),https://marvel.fandom.com/wiki/Caliban_(Earth-616)
intelligence,1,Carnage (Symbiote) (Earth-1610),https://marvel.fandom.com/wiki/Carnage_(Symbiote)_(Earth-1610)
intelligence,1,Chester Weems (Earth-80360),https://marvel.fandom.com/wiki/Chester_Weems_(Earth-80360)
intelligence,1,Chtylok (Earth-616),https://marvel.fandom.com/wiki/Chtylok_(Earth-616)
intelligence,1,Curtis Conners (Earth-1610),https://marvel.fandom.com/wiki/Curtis_Conners_(Earth-1610)
intelligence,1,Datavore (Earth-616),https://marvel.fandom.com/wiki/Datavore_(Earth-616)
intelligence,1,David Haller (Earth-616),https://marvel.fandom.com/wiki/David_Haller_(Earth-616)
intelligence,1,Death's Head 3.0 (Earth-6216),https://marvel.fandom.com/wiki/Death%27s_Head_3.0_(Earth-6216)
intelligence,1,Dennis Dunphy (Earth-616),https://marvel.fandom.com/wiki/Dennis_Dunphy_(Earth-616)
intelligence,1,Desmond Kline (Earth-616),https://marvel.fandom.com/wiki/Desmond_Kline_(Earth-616)
intelligence,1,Deuce (Earth-616),https://marvel.fandom.com/wiki/Deuce_(Earth-616)
intelligence,1,Devil's Heart (Earth-616),https://marvel.fandom.com/wiki/Devil%27s_Heart_(Earth-616)
intelligence,1,Diablo (Bear) (Earth-616),https://marvel.fandom.com/wiki/Diablo_(Bear)_(Earth-616)
intelligence,1,Doombringer (Earth-616),https://marvel.fandom.com/wiki/Doombringer_(Earth-616)
intelligence,1,Doppelganger (Spider-Man) (Earth-616),https://marvel.fandom.com/wiki/Doppelganger_(Spider-Man)_(Earth-616)
intelligence,1,Draconus (Earth-616),https://marvel.fandom.com/wiki/Draconus_(Earth-616)
intelligence,1,Dreamstalker (Earth-616),https://marvel.fandom.com/wiki/Dreamstalker_(Earth-616)
intelligence,1,Edward Cobert (Earth-616),https://marvel.fandom.com/wiki/Edward_Cobert_(Earth-616)
intelligence,1,Edward Whelan (Earth-616),https://marvel.fandom.com/wiki/Edward_Whelan_(Earth-616)
intelligence,1,Elektro (Earth-616),https://marvel.fandom.com/wiki/Elektro_(Earth-616)
intelligence,1,Elendil (Earth-616),https://marvel.fandom.com/wiki/Elendil_(Earth-616)
intelligence,1,Francois Lartigue (Earth-616),https://marvel.fandom.com/wiki/Francois_Lartigue_(Earth-616)
intelligence,1,Frank Bigelow (Earth-616),https://marvel.fandom.com/wiki/Frank_Bigelow_(Earth-616)
intelligence,1,Frank Simpson (Earth-616),https://marvel.fandom.com/wiki/Frank_Simpson_(Earth-616)
intelligence,1,Friedrich von Roehm (Earth-616),https://marvel.fandom.com/wiki/Friedrich_von_Roehm_(Earth-616)
intelligence,1,Fury (Earth-238),https://marvel.fandom.com/wiki/Fury_(Earth-238)
intelligence,1,Garthan Saal (Earth-616),https://marvel.fandom.com/wiki/Garthan_Saal_(Earth-616)
intelligence,1,Georges Baptiste (Earth-616),https://marvel.fandom.com/wiki/Georges_Baptiste_(Earth-616)
intelligence,1,Godstorm (Earth-616),https://marvel.fandom.com/wiki/Godstorm_(Earth-616)
intelligence,1,Gorgilla (Earth-616),https://marvel.fandom.com/wiki/Gorgilla_(Earth-616)
intelligence,1,Harold Hogan (Earth-616),https://marvel.fandom.com/wiki/Harold_Hogan_(Earth-616)
intelligence,1,Hecatomb (Earth-616),https://marvel.fandom.com/wiki/Hecatomb_(Earth-616)
intelligence,1,Hi-Vo (Earth-616),https://marvel.fandom.com/wiki/Hi-Vo_(Earth-616)
intelligence,1,Ina (Earth-616),https://marvel.fandom.com/wiki/Ina_(Earth-616)
intelligence,1,Infant Terrible (Earth-616),https://marvel.fandom.com/wiki/Infant_Terrible_(Earth-616)
intelligence,1,Isaiah Bradley (Earth-616),https://marvel.fandom.com/wiki/Isaiah_Bradley_(Earth-616)
intelligence,1,It the Living Colossus (Earth-616),https://marvel.fandom.com/wiki/It_the_Living_Colossus_(Earth-616)
intelligence,1,Ivan Kronov (Earth-616),https://marvel.fandom.com/wiki/Ivan_Kronov_(Earth-616)
intelligence,1,John Horton (Earth-616),https://marvel.fandom.com/wiki/John_Horton_(Earth-616)
intelligence,1,Kerberos (Earth-616),https://marvel.fandom.com/wiki/Kerberos_(Earth-616)
intelligence,1,Klaatu (Earth-616),https://marvel.fandom.com/wiki/Klaatu_(Earth-616)
intelligence,1,Krakoa (Earth-616),https://marvel.fandom.com/wiki/Krakoa_(Earth-616)
intelligence,1,Kyle Gibney (Earth-295),https://marvel.fandom.com/wiki/Kyle_Gibney_(Earth-295)
intelligence,1,Living Brain (Earth-616),https://marvel.fandom.com/wiki/Living_Brain_(Earth-616)
intelligence,1,Lobo (Johnny Wakely) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(Johnny_Wakely)_(Earth-616)
intelligence,1,Lobo (William Talltrees' 1st) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(William_Talltrees%27_1st)_(Earth-616)
intelligence,1,Lobo (William Talltrees' 2nd) (Earth-616),https://marvel.fandom.com/wiki/Lobo_(William_Talltrees%27_2nd)_(Earth-616)
intelligence,1,Lorenzo Scoggins (Earth-616),https://marvel.fandom.com/wiki/Lorenzo_Scoggins_(Earth-616)
intelligence,1,Malcolm Murphy (Earth-616),https://marvel.fandom.com/wiki/Malcolm_Murphy_(Earth-616)
intelligence,1,Man-oo (Earth-616),https://marvel.fandom.com/wiki/Man-oo_(Earth-616)
intelligence,1,Marrina Smallwood (Earth-616),https://marvel.fandom.com/wiki/Marrina_Smallwood_(Earth-616)
intelligence,1,Max (Punisher's Dog) (Earth-616),https://marvel.fandom.com/wiki/Max_(Punisher%27s_Dog)_(Earth-616)
intelligence,1,Mechano (Earth-616),https://marvel.fandom.com/wiki/Mechano_(Earth-616)
intelligence,1,Michael Fleet (Earth-616),https://marvel.fandom.com/wiki/Michael_Fleet_(Earth-616)
intelligence,1,Milos Masaryk (Earth-616),https://marvel.fandom.com/wiki/Milos_Masaryk_(Earth-616)
intelligence,1,Monster Android (Earth-616),https://marvel.fandom.com/wiki/Monster_Android_(Earth-616)
intelligence,1,Mort Graves (Earth-616),https://marvel.fandom.com/wiki/Mort_Graves_(Earth-616)
intelligence,1,Nameless One (Voodoo Lord) (Earth-616),https://marvel.fandom.com/wiki/Nameless_One_(Voodoo_Lord)_(Earth-616)
intelligence,1,Native (Earth-616),https://marvel.fandom.com/wiki/Native_(Earth-616)
intelligence,1,Nimo (Earth-616),https://marvel.fandom.com/wiki/Nimo_(Earth-616)
intelligence,1,Normie (Earth-616),https://marvel.fandom.com/wiki/Normie_(Earth-616)
intelligence,1,Omnivore (Earth-616),https://marvel.fandom.com/wiki/Omnivore_(Earth-616)
intelligence,1,Paul Cartier (Earth-616),https://marvel.fandom.com/wiki/Paul_Cartier_(Earth-616)
intelligence,1,Paul-Philip Ravage (Earth-928),https://marvel.fandom.com/wiki/Paul-Philip_Ravage_(Earth-928)
intelligence,1,Peter Quinn (Earth-616),https://marvel.fandom.com/wiki/Peter_Quinn_(Earth-616)
